CallID,UserID,Source,Destination,StartTime,EndTime,Duration,CallType,Status,Cost,Provider
1000,2,07860807633,07858352154,2025-05-28 18:25:57,,0,SMS,Completed,0.0,Vodafone
1001,14,07338579366,07776067929,2025-06-01 04:44:16,,0,SMS,Missed,0.0,O2
1002,4,07112075238,07765867254,2025-05-30 01:50:37,,0,Data,Missed,0.0,O2
1003,0,07130190947,07972351657,2025-05-14 12:40:41,,0,Data,Completed,0.0,Vodafone
1004,0,07130190947,07349839978,2025-06-11 19:52:31,,0,Data,Missed,0.0,Vodafone
1005,14,07338579366,07961161486,2025-05-20 17:48:29,2025-05-20 17:55:45,436,Voice,Completed,4.36,O2
1006,6,07731980090,07144542706,2025-05-17 17:39:54,,0,SMS,Failed,0.0,EE
1007,6,07731980090,07115556355,2025-06-08 18:42:05,,0,SMS,Completed,0.0,EE
1008,10,07422321925,07622116198,2025-05-30 17:08:46,,0,SMS,Completed,0.0,EE
1009,6,07731980090,07235372144,2025-05-20 07:01:05,2025-05-20 07:02:17,72,Voice,Completed,0.72,EE
1010,6,07731980090,07674330106,2025-06-07 13:19:43,,0,SMS,Missed,0.0,EE
1011,5,07734704655,07225941636,2025-06-12 06:35:32,,0,SMS,Completed,0.0,Vodafone
1012,14,07338579366,07347007132,2025-05-24 06:43:48,2025-05-24 06:48:36,288,Voice,Completed,2.88,O2
1013,11,07262591477,07964764236,2025-05-17 19:31:41,,0,Data,Failed,0.0,EE
1014,2,07860807633,07850404118,2025-05-31 06:43:04,,0,SMS,Missed,0.0,Vodafone
1015,3,07276749462,07172420819,2025-05-15 13:43:26,2025-05-15 13:48:09,283,Voice,Completed,2.83,O2
1016,3,07276749462,07771026209,2025-05-24 18:55:08,,0,Data,Missed,0.0,O2
1017,7,07486754856,07940795449,2025-05-27 06:23:31,2025-05-27 06:32:43,552,Voice,Completed,5.52,O2
1018,9,07755049108,07394820561,2025-05-21 08:37:04,2025-05-21 08:44:41,457,Voice,Completed,4.57,EE
1019,8,07494816023,07203428015,2025-06-04 20:32:47,,0,SMS,Completed,0.0,O2
1020,8,07494816023,07593038313,2025-06-01 11:16:07,2025-06-01 11:19:28,201,Voice,Completed,2.01,O2
1021,2,07860807633,07853079747,2025-05-28 15:15:41,,0,SMS,Completed,0.0,Vodafone
1022,3,07276749462,07786573190,2025-05-25 18:48:18,,0,SMS,Missed,0.0,O2
1023,6,07731980090,07662959270,2025-06-08 18:29:27,2025-06-08 18:33:07,220,Voice,Completed,2.2,EE
1024,13,07423624938,07267462355,2025-05-31 04:11:26,2025-05-31 04:21:18,592,Voice,Completed,5.92,Vodafone
1025,8,07494816023,07235700135,2025-05-20 10:14:52,2025-05-20 10:23:03,491,Voice,Completed,4.91,O2
1026,13,07423624938,07921094445,2025-05-22 23:18:56,,0,Data,Failed,0.0,Vodafone
1027,8,07494816023,07639313037,2025-06-05 16:31:04,,0,SMS,Missed,0.0,O2
1028,12,07463674502,07822366447,2025-05-30 01:26:21,,0,SMS,Failed,0.0,Vodafone
1029,11,07262591477,07538777746,2025-05-23 12:02:49,,0,SMS,Failed,0.0,EE
1030,12,07463674502,07847753949,2025-05-28 14:11:56,,0,Data,Completed,0.0,Vodafone
1031,8,07494816023,07335793193,2025-05-22 06:25:37,,0,SMS,Completed,0.0,O2
1032,11,07262591477,07538722529,2025-05-25 11:36:12,,0,SMS,Failed,0.0,EE
1033,0,07130190947,07542905111,2025-05-19 13:33:40,,0,SMS,Missed,0.0,Vodafone
1034,10,07422321925,07645368613,2025-05-28 11:12:35,,0,Data,Completed,0.0,EE
1035,7,07486754856,07221358251,2025-06-01 23:57:30,,0,SMS,Completed,0.0,O2
1036,11,07262591477,07797041241,2025-06-09 19:06:28,,0,SMS,Failed,0.0,EE
1037,8,07494816023,07748788811,2025-06-04 20:40:36,,0,SMS,Completed,0.0,O2
1038,13,07423624938,07471847922,2025-06-10 00:21:31,,0,Data,Missed,0.0,Vodafone
1039,2,07860807633,07983132823,2025-06-11 06:08:42,2025-06-11 06:17:32,530,Voice,Completed,5.3,Vodafone
1040,10,07422321925,07492829206,2025-05-26 14:44:02,2025-05-26 14:51:43,461,Voice,Completed,4.61,EE
1041,10,07422321925,07255241258,2025-06-02 13:47:41,2025-06-02 13:54:18,397,Voice,Completed,3.97,EE
1042,3,07276749462,07113092969,2025-05-27 01:11:36,2025-05-27 01:13:04,88,Voice,Completed,0.88,O2
1043,13,07423624938,07587633655,2025-05-21 17:59:02,,0,SMS,Missed,0.0,Vodafone
1044,13,07423624938,07749611944,2025-05-31 16:29:08,2025-05-31 16:34:10,302,Voice,Completed,3.02,Vodafone
1045,1,07558087490,07813431307,2025-05-21 14:26:34,2025-05-21 14:35:33,539,Voice,Completed,5.39,Vodafone
1046,7,07486754856,07242604815,2025-06-12 03:36:09,2025-06-12 03:44:39,510,Voice,Completed,5.1,O2
1047,7,07486754856,07691574606,2025-05-28 12:08:12,2025-05-28 12:12:22,250,Voice,Completed,2.5,O2
1048,11,07262591477,07902087555,2025-05-20 03:41:00,,0,SMS,Missed,0.0,EE
1049,14,07338579366,07290034853,2025-05-15 00:07:49,2025-05-15 00:08:41,52,Voice,Completed,0.52,O2
1050,12,07463674502,07353370983,2025-06-10 14:09:04,,0,SMS,Failed,0.0,Vodafone
1051,12,07463674502,07336932492,2025-05-26 21:32:36,2025-05-26 21:36:10,214,Voice,Completed,2.14,Vodafone
1052,4,07112075238,07555299658,2025-06-07 04:57:54,2025-06-07 05:04:39,405,Voice,Completed,4.05,O2
1053,2,07860807633,07256617328,2025-05-28 13:24:23,2025-05-28 13:29:37,314,Voice,Completed,3.14,Vodafone
1054,14,07338579366,07866347812,2025-05-30 06:46:53,2025-05-30 06:52:43,350,Voice,Completed,3.5,O2
1055,8,07494816023,07880111455,2025-06-02 09:53:38,,0,Data,Completed,0.0,O2
1056,4,07112075238,07118213188,2025-06-05 21:21:35,,0,SMS,Completed,0.0,O2
1057,0,07130190947,07735498318,2025-05-24 12:26:20,,0,Data,Missed,0.0,Vodafone
1058,4,07112075238,07630820619,2025-06-01 03:23:04,,0,SMS,Failed,0.0,O2
1059,8,07494816023,07771302900,2025-05-21 06:33:26,2025-05-21 06:37:41,255,Voice,Completed,2.55,O2
1060,4,07112075238,07812588764,2025-06-01 17:12:44,,0,SMS,Missed,0.0,O2
1061,10,07422321925,07672662015,2025-05-16 19:56:17,,0,SMS,Completed,0.0,EE
1062,1,07558087490,07385837962,2025-05-25 17:28:47,,0,SMS,Completed,0.0,Vodafone
1063,1,07558087490,07221453419,2025-05-30 10:30:03,,0,SMS,Missed,0.0,Vodafone
1064,13,07423624938,07940993362,2025-06-01 15:31:21,2025-06-01 15:37:07,346,Voice,Completed,3.46,Vodafone
1065,11,07262591477,07271480707,2025-06-02 03:52:17,2025-06-02 03:57:37,320,Voice,Completed,3.2,EE
1066,4,07112075238,07223186639,2025-06-11 19:05:52,2025-06-11 19:08:48,176,Voice,Completed,1.76,O2
1067,5,07734704655,07732741628,2025-05-25 04:57:13,2025-05-25 05:04:29,436,Voice,Completed,4.36,Vodafone
1068,2,07860807633,07838949860,2025-05-27 21:25:37,,0,Data,Failed,0.0,Vodafone
1069,11,07262591477,07625400986,2025-05-26 09:22:23,,0,SMS,Failed,0.0,EE
1070,8,07494816023,07964269331,2025-06-11 15:27:24,2025-06-11 15:36:49,565,Voice,Completed,5.65,O2
1071,12,07463674502,07611927397,2025-06-10 23:02:26,,0,SMS,Failed,0.0,Vodafone
1072,12,07463674502,07372875544,2025-05-24 17:04:30,,0,SMS,Completed,0.0,Vodafone
1073,13,07423624938,07196874181,2025-05-19 05:24:08,,0,Data,Completed,0.0,Vodafone
1074,3,07276749462,07868265862,2025-06-08 05:47:55,,0,Data,Failed,0.0,O2
1075,9,07755049108,07591720850,2025-05-14 08:31:02,,0,SMS,Completed,0.0,EE
1076,10,07422321925,07614007437,2025-06-11 15:11:00,2025-06-11 15:12:14,74,Voice,Completed,0.74,EE
1077,4,07112075238,07662740745,2025-05-16 23:16:15,2025-05-16 23:22:24,369,Voice,Completed,3.69,O2
1078,13,07423624938,07456128268,2025-05-18 21:43:51,2025-05-18 21:49:29,338,Voice,Completed,3.38,Vodafone
1079,9,07755049108,07640716124,2025-05-26 22:28:43,,0,Data,Missed,0.0,EE
1080,9,07755049108,07717019875,2025-06-08 14:30:49,,0,Data,Completed,0.0,EE
1081,14,07338579366,07752535633,2025-05-31 12:26:29,,0,Data,Completed,0.0,O2
1082,6,07731980090,07918711437,2025-06-03 21:28:59,,0,SMS,Failed,0.0,EE
1083,1,07558087490,07929039634,2025-05-19 15:31:16,,0,Data,Missed,0.0,Vodafone
1084,8,07494816023,07356220196,2025-06-07 17:58:16,,0,Data,Missed,0.0,O2
1085,7,07486754856,07511481988,2025-06-05 09:20:23,,0,Data,Missed,0.0,O2
1086,5,07734704655,07186032135,2025-06-03 07:25:08,2025-06-03 07:28:51,223,Voice,Completed,2.23,Vodafone
1087,3,07276749462,07982726840,2025-05-24 08:19:29,,0,Data,Completed,0.0,O2
1088,1,07558087490,07410162009,2025-05-13 18:58:37,2025-05-13 19:00:12,95,Voice,Completed,0.95,Vodafone
1089,6,07731980090,07891597771,2025-06-06 13:33:47,,0,Data,Failed,0.0,EE
1090,14,07338579366,07838291256,2025-06-01 07:47:36,,0,SMS,Missed,0.0,O2
1091,7,07486754856,07968189707,2025-05-13 16:12:49,2025-05-13 16:17:55,306,Voice,Completed,3.06,O2
1092,9,07755049108,07760733878,2025-05-17 18:52:57,,0,Data,Completed,0.0,EE
1093,7,07486754856,07317408927,2025-05-21 11:41:05,,0,Data,Failed,0.0,O2
1094,4,07112075238,07828354362,2025-06-08 23:31:15,,0,SMS,Completed,0.0,O2
1095,7,07486754856,07743639479,2025-06-01 16:30:31,,0,SMS,Completed,0.0,O2
1096,0,07130190947,07333800966,2025-05-28 22:27:33,2025-05-28 22:29:47,134,Voice,Completed,1.34,Vodafone
1097,10,07422321925,07780513441,2025-05-17 17:07:57,2025-05-17 17:17:50,593,Voice,Completed,5.93,EE
1098,4,07112075238,07296639077,2025-06-07 13:49:56,,0,Data,Completed,0.0,O2
1099,14,07338579366,07533541539,2025-06-09 16:13:02,,0,Data,Missed,0.0,O2
